NACA 64-006
 1.00000  0.00000
 0.95000  0.00157
 0.90000  0.00423
 0.85000  0.00737
 0.80000  0.01072
 0.75000  0.01412
 0.70000  0.01740
 0.65000  0.02050
 0.60000  0.02331
 0.55000  0.02575
 0.50000  0.02775
 0.45000  0.02919
 0.40000  0.02995
 0.35000  0.02981
 0.30000  0.02907
 0.25000  0.02772
 0.20000  0.02572
 0.15000  0.02298
 0.10000  0.01928
 0.07500  0.01692
 0.05000  0.01405
 0.02500  0.01024
 0.01250  0.00754
 0.00750  0.00596
 0.00500  0.00494
 0.00000  0.00000
 0.00500 -0.00494
 0.00750 -0.00596
 0.01250 -0.00754
 0.02500 -0.01024
 0.05000 -0.01405
 0.07500 -0.01692
 0.10000 -0.01928
 0.15000 -0.02298
 0.20000 -0.02572
 0.25000 -0.02772
 0.30000 -0.02907
 0.35000 -0.02981
 0.40000 -0.02995
 0.45000 -0.02919
 0.50000 -0.02775
 0.55000 -0.02575
 0.60000 -0.02331
 0.65000 -0.02050
 0.70000 -0.01740
 0.75000 -0.01412
 0.80000 -0.01072
 0.85000 -0.00737
 0.90000 -0.00423
 0.95000 -0.00157
 1.00000  0.00000
