  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 64-006                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     9.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0001   0.00405   0.00019   0.0000   0.4314   0.4424
   0.100   0.0111   0.00411   0.00020  -0.0000   0.3990   0.4556
   0.200   0.0221   0.00419   0.00021  -0.0001   0.3539   0.4754
   0.300   0.0333   0.00419   0.00022  -0.0001   0.3365   0.4953
   0.400   0.0439   0.00442   0.00026  -0.0002   0.2390   0.5181
   0.500   0.0547   0.00455   0.00028  -0.0003   0.1762   0.5407
   0.600   0.0664   0.00446   0.00028  -0.0003   0.2025   0.5478
   0.700   0.0775   0.00455   0.00030  -0.0004   0.1647   0.5607
   0.800   0.0887   0.00464   0.00032  -0.0004   0.1278   0.5700
   0.900   0.1000   0.00470   0.00034  -0.0004   0.1037   0.5814
   1.000   0.1112   0.00469   0.00035  -0.0005   0.0922   0.6002
   1.100   0.1224   0.00476   0.00038  -0.0005   0.0660   0.6112
   1.200   0.1335   0.00470   0.00040  -0.0005   0.0577   0.6503
   1.300   0.1447   0.00474   0.00042  -0.0005   0.0401   0.6623
   1.400   0.1561   0.00476   0.00044  -0.0005   0.0351   0.6707
   1.500   0.1675   0.00479   0.00047  -0.0005   0.0277   0.6790
   1.600   0.1788   0.00478   0.00048  -0.0006   0.0263   0.6899
   1.700   0.1902   0.00479   0.00051  -0.0006   0.0256   0.6987
   1.800   0.2016   0.00480   0.00053  -0.0006   0.0221   0.7079
   1.900   0.2129   0.00483   0.00056  -0.0006   0.0159   0.7164
   2.000   0.2243   0.00485   0.00058  -0.0006   0.0143   0.7244
   2.100   0.2357   0.00487   0.00061  -0.0006   0.0122   0.7330
   2.200   0.2471   0.00495   0.00076  -0.0006   0.0078   0.7405
   2.300   0.2586   0.00499   0.00084  -0.0006   0.0078   0.7483
   2.400   0.2699   0.00504   0.00093  -0.0006   0.0077   0.7564
   2.700   0.3039   0.00529   0.00130  -0.0005   0.0077   0.7754
   2.900   0.3269   0.00512   0.00107  -0.0006   0.0076   0.7885
